String,Ref. Ten. (lbs),Swing Speed,Material,Gauge Nominal (mm),Gauge Acutal (mm),Stretch at 40 lbs (%),Stretch at 51 lbs (%),Stretch at 62 lbs (%),Actual Pre-impact Tension (lbs),Dwell Time (ms),Deflection (mm),Tension Change (lbs),Peak Tension (lbs),Peak Perp. Force (lbs),Ave Perp. Force (lbs),Stiffness (lb/in),Static Loss lbs.,Stabilization Loss (lbs),Impact Loss (lbs).,Total Loss (lbs),Tension Loss (%),Energy Return (%),String/String COF,String/Ball COF,Spin Potential
Head FXP Power 16,51,Medium,Nylon,1.3,1.34,NA,NA,11.5,38.3,37.4,26.9,29.3,67.7,22.8,,164.6,7.43,4.99,0.07,12.6,24.6,96,0.087,0.403,4.6
Head Ultratour 17,51,Medium,Polyester,1.2,1.22,4.8,6.7,8.2,28.62,37.3,27,41.5,69.9,23.6,,230.9,9.39,12.71,0.26,22.3,44.1,89.7,0.094,0.383,4.1
Head Ultra Tour 16,51,Medium,Polyester,1.27,1.26,2.1,3.3,4.5,28.4,37.9,27.7,40.6,69,23.9,,215.5,8.91,13.41,0.2,22.5,44.4,90.4,0.087,0.394,4.5
Head Sonic Pro Edge 16,51,Medium,Polyester,1.3,NA,1.5,3,4.2,31.82,36.5,26.1,39.2,71,23.2,11.8,233.7,4.74,14.16,0.27,19.2,37.8,91.6,0.076,0.363,4.8
Head PerfectControl 16,51,Medium,Polyolefin,1.3,1.38,NA,NA,7.6,41.06,36.6,26,26.9,67.9,22.1,,161.7,5.36,4.3,0.11,9.7,19.3,96.4,0.149,0.394,2.6
Head Lynx 16 (1.30),51,Medium,Polyester,1.3,NA,2.4,4.2,5.8,28.25,38.1,28,40.6,68.8,24.1,11.4,210.9,7.17,15.3,0.38,22.9,45,90.2,0.075,0.525,7
Head RIP Control 16,51,Medium,Nylon/Polyolefin,1.3,1.45,NA,NA,6.7,39.93,36.7,26,28.9,68.8,22.4,,173.2,5.36,5.43,0.09,10.8,21.4,95.5,0.148,0.392,2.6
Head Fibergel Power 17,51,Medium,Nylon,1.24,1.28,7.6,9.1,9.7,38.74,36.7,26,30,68.8,22.4,,180.6,5.2,6.78,0.04,12.1,23.7,93.9,0.131,0.405,3.1
Head ETS 16,51,Medium,Nylon,1.31,1.45,4.5,5.8,6.7,38.68,37.4,26.5,29.1,67.9,22.5,,168.6,5.4,6.64,0.05,12.1,23.8,94.7,0.173,0.331,1.9
IsoSpeed Control Classic 16,51,Medium,Polyolefin,1.3,1.33,2.7,4.2,4.5,35.46,38.7,27.7,26.9,62.4,21.6,,142.3,7.41,7.85,0.27,15.4,30.6,93.7,0.17,0.386,2.3
IsoSpeed Black Fire 17,51,Medium,Polyester,1.25,NA,2.1,3,4.5,31.38,36.4,26.1,39.9,71.2,23.2,11.9,238.3,5.31,14.03,0.29,19.6,38.7,90.6,0.069,0.386,5.6
IsoSpeed Energetic 17,51,Medium,Nylon/Polyolefin,1.2,1.27,3.6,4.8,6.1,33.87,38.4,27.7,31.5,65.3,22.6,,166.9,5.76,11.09,0.16,17,33.5,92.2,0.22,0.413,1.9
IsoSpeed Pyramid 16,51,Medium,Polyester,1.3,1.3,2.7,3.9,6.1,22.14,40.4,29,39.9,62.2,22.5,,193.2,10.32,18.26,0.42,28.9,57.2,86.9,0.081,0.571,7
IsoSpeed Professional Classic 17,51,Medium,Polyolefin,1.2,1.29,2.7,3.6,4.8,36.93,38.5,27.2,26,63.1,21.4,,142.9,6.5,7.29,0.22,14.1,27.6,93.5,0.207,0.321,1.6
IsoSpeed Energetic Plus 16,51,Medium,Nylon/Polyester,1.3,NA,3.9,4.8,5.8,39.71,37.2,26.7,29.3,69,23,,167.4,5.31,5.7,0.09,11,21.9,94.7,0.169,0.41,2.4
IsoSpeed Axon Mono 16L,51,Medium,Polyester,1.25,1.28,3,3.3,4.5,33.65,36.7,26.1,38.6,72.3,23.6,,229.7,7.03,10.04,0.18,17.2,34,92.4,0.119,0.383,3.2
IsoSpeed Pulse 16,51,Medium,Polyester,1.3,1.32,3,5.5,7.6,22.6,40.5,29,38.1,60.6,22,,184,10.74,17.38,0.55,28.7,56.5,86.5,0.074,0.346,4.7
IsoSpeed Control 16,51,Medium,Nylon/Polyolefin,1.3,1.33,3.9,5.2,6.1,38.5,37.7,26.7,27.6,66.2,22.1,,157.2,5.73,6.49,0.16,12.3,24.4,94.3,NA,NA,NA
IsoSpeed Axon Multi 16L,51,Medium,Nylon/Polyolefin,1.25,1.29,4.2,5.5,7,36.78,38.6,27.5,25.4,62.2,21.4,,135.4,6.81,7.13,0.24,14.1,28,94.5,0.146,0.432,3
IsoSpeed Pulse 17,51,Medium,Polyester,1.2,1.22,3.9,6.1,8.5,23.31,40.8,29.4,36.2,59.5,21.9,,170.3,9.04,18.37,0.51,28,55,86.9,NA,NA,NA
Kirschbaum Super Smash 17 (1.25),51,Medium,Polyester,1.25,1.25,1.8,2.7,4.8,26.88,37.3,27,42.1,69,23.3,,234.3,8.07,15.77,0.27,24,47.5,88.4,0.08,0.453,5.7
Kirschbaum Touch Multifibre 17 (1.25),51,Medium,Nylon,1.25,1.28,7.3,8.5,9.7,40.02,36.6,26,28.2,68.4,22.2,,170.3,6.02,4.68,0.04,10.8,21.2,92.7,0.117,0.411,3.5
Kirschbaum Super Smash Spiky 16/1.30,51,Medium,Polyester,1.3,1.32,1.5,2.4,4.2,23.57,38.3,28,45.9,69.2,24.3,,237.2,10.1,17.05,0.31,27.3,54.1,86.7,0.09,0.446,5
Kirschbaum Spiky Shark 17,51,Medium,Polyester,1.25,1.3,2.4,4.5,6.1,24.28,38.7,28,42.1,66.4,23.2,,218.3,10.65,15.79,0.42,26.9,53,87.6,0.072,0.533,7.4
Kirschbaum Max Power 17 (1.25),51,Medium,Polyester,1.25,NA,1.5,2.4,3,39.47,34.8,26,41.7,81.1,26.3,12.8,250.9,3.57,7.68,0.15,11.5,22.5,93.5,0.089,0.485,5.4
Kirschbaum Touch Turbo 17 (1.25),51,Medium,Polyester,1.25,1.34,1.5,2.7,2.4,28.29,37,26.6,41.2,69.5,23.2,,236,7.74,14.69,0.37,22.7,45,88.9,0.084,0.44,5.2
Kirschbaum Competition 16/1.30,51,Medium,Polyester,1.3,1.3,1.5,2.7,4.2,27.21,38.1,27.6,42.6,69.9,24.1,,227.5,8.71,14.8,0.26,23.8,46.9,94.3,0.082,0.403,4.9
Kirschbaum Long Life 15,51,Medium,Polyester,1.38,1.44,1.2,2.1,3.3,23.15,37.7,27.3,47.6,70.8,24.1,,259.5,10.3,17.27,0.39,28,55.1,88.7,0.094,0.43,4.6
Kirschbaum Pro Line I 17L (1.20),51,Medium,Polyester,1.2,1.21,2.1,3.3,4.5,24.72,38.4,27.9,40.8,65.7,22.9,,213.2,9.33,16.67,0.27,26.2,51.8,87.4,0.089,0.351,3.9
Kirschbaum Pro Line II 1.30,51,Medium,Polyester,1.3,1.3,1.5,2.7,5.5,27.03,37.9,27.9,42.6,69.7,24.3,,222.9,8.53,15.16,0.2,23.8,47.1,88.9,0.078,0.444,5.7
Kirschbaum Pro Line II 17L (1.20),51,Medium,Polyester,1.2,1.2,2.7,3.9,5.5,27.87,38,27.3,39,66.8,22.8,,212.6,8.56,14.29,0.26,23.2,45.6,90.4,0.09,0.436,4.8
Kirschbaum Black Shark 17 (1.25),51,Medium,Polyester,1.25,NA,2.4,3.9,NA,31.69,36.2,26,39.7,71.4,23.2,12,238.3,6.11,12.92,0.2,19.2,37.9,91.6,0.072,0.421,5.8
Kirschbaum Super Smash Spiky 17 (1.25),51,Medium,Polyester,1.25,1.29,1.5,3,4.5,25.4,37.5,27,43.4,69,23.3,,242.3,9.26,16.06,0.4,25.8,50.7,88.4,0.074,0.386,5.2
Kirschbaum Pro Line X 16 (1.30),51,Medium,Polyester,1.3,NA,1.5,2.4,3,37.35,34.5,24.7,41.5,78.9,24.4,,276.6,4.19,9.18,0.13,13.5,26.6,93.1,0.08,0.41,5.1
Kirschbaum Competition 17L (1.20),51,Medium,Polyester,1.2,1.19,2.7,4.2,5.2,28.36,38.1,27.2,37.9,66.2,22.5,,207.5,7.96,14.4,0.31,22.7,44.7,91,0.103,0.422,4.1
Kirschbaum Helix 17,51,Medium,Polyester,1.25,1.25,1.8,2.7,3.9,28.84,37.4,27,41.5,70.3,23.7,,231.5,7.52,14.36,0.2,22.1,43.5,90.2,0.076,0.414,5.4
Kirschbaum P2 17 (1.25),51,Medium,Polyester,1.25,1.26,1.2,2.4,3,33.93,35.2,25.7,41.2,75.2,24.2,,254.3,6.2,10.59,0.15,17,33.4,93.1,0.095,0.465,4.9
Kirschbaum P2 16/1.30,51,Medium,Polyester,1.3,1.3,1.5,2.4,3,31.8,36.3,26.1,42.3,74.1,24.2,,253.2,6.99,11.93,0.22,19.2,37.7,90.6,0.079,0.412,5.2
Kirschbaum Touch Multifibre 16,51,Medium,Nylon,1.3,1.31,NA,NA,10.6,39.32,37.1,26.9,29.5,68.8,23.2,,165.2,6.88,4.52,0.07,11.5,22.6,94.7,0.114,0.468,4.1
Kirschbaum Super Smash Spiky 1.20,51,Medium,Polyester,1.2,1.2,2.4,3.9,5.5,24.67,38.5,28,42.1,66.8,23.4,,218.9,9.88,16.17,0.3,26.2,52,89.3,0.095,0.48,5.1
Kirschbaum Pro Line I 18L (1.15),51,Medium,Polyester,1.15,1.15,2.4,4.2,5.5,25.58,38.5,27.9,40.6,66.2,23.1,,211.5,8.6,16.54,0.27,25.4,50.1,87.2,0.086,0.377,4.4
Kirschbaum Pro Line I 1.30,51,Medium,Polyester,1.3,1.31,1.2,2,3,27.03,37.2,27,45.4,72.5,24.5,,253.7,8.6,15.09,0.24,24,47.2,88,0.081,0.358,4.4
Kirschbaum Pro Line II 18 (1.15),51,Medium,Polyester,1.15,1.18,3,4.5,5.8,27.81,38.2,27.8,37.7,65.7,22.8,,198.3,8.36,14.55,0.36,23.4,45.9,91,0.097,0.435,4.5
Kirschbaum Helix 16,51,Medium,Polyester,1.3,1.33,2.4,5.5,6.1,23.42,38.8,28,43.7,67,23.5,,226.3,9.13,18.17,0.31,27.6,54.4,88,0.074,0.403,5.4
Kirschbaum Competition 17 (1.25),51,Medium,Polyester,1.25,1.26,2.4,3.6,4.8,27.14,37.5,27,41.7,69,23.3,,233.2,9.13,14.45,0.28,23.8,47,90.2,0.103,0.463,4.5
Kirschbaum P2 17L (1.20),51,Medium,Polyester,1.2,1.2,2.1,3,3.9,30.19,37.3,26.9,39.2,69.5,23.4,,220.6,6.75,13.78,0.33,20.9,41.1,90.2,0.092,0.441,4.8
Kirschbaum Super Smash 16/1.30,51,Medium,Polyester,1.3,1.34,1.5,2.3,3.6,25.51,37.7,27.7,45.4,71,24.6,,240.6,8.49,16.72,0.33,25.6,50.3,87.4,0.08,0.424,5.3
Kirschbaum Pro Line X 17 (1.25),51,Medium,Polyester,1.25,1.25,1.5,2.4,3.3,32.57,36,25.9,40.6,73.2,23.7,,245.2,7.19,10.96,0.33,18.5,36.4,93.1,0.089,0.423,4.8
Kirschbaum Touch Turbo 16L (1.275),51,Medium,Polyester,1.275,1.26,1.8,3,3.9,26.77,37.8,27.1,40.1,66.8,22.6,,222.3,8,15.95,0.27,24.3,47.7,87.6,0.075,0.403,5.4
Kirschbaum Touch Turbo 1.30,51,Medium,Polyester,1.3,1.3,1.4,2.4,3.3,28.22,36.8,26.3,44.5,72.8,24,,261.7,7.65,14.85,0.3,22.7,45,89.1,0.085,0.45,5.3
Kirschbaum Pro Line I 17 (1.25),51,Medium,Polyester,1.25,1.27,1.8,3,4.2,25.58,37.7,27,42.1,67.7,22.9,,234.3,8.49,16.65,0.27,25.4,50.1,89.5,0.091,0.375,4.1
Kirschbaum Spiky Shark 16,51,Medium,Polyester,1.3,1.31,1.8,3.3,3.9,27.34,37.6,27,43.2,70.6,23.8,,240.6,8.36,15.02,0.24,23.6,46.6,89.5,0.072,0.541,7.5
Kirschbaum Pro Line II 17 (1.25),51,Medium,Polyester,1.25,1.25,2.4,3.9,4.8,28.44,37.4,27,40.6,69,23.3,,225.7,8,14.28,0.22,22.5,44.3,90.2,0.101,0.47,4.7
Kirschbaum Black Shark 16 (1.30),51,Medium,Polyester,1.3,NA,1.5,3,4.2,30.34,36.1,26,42.6,72.8,23.7,11.6,255.5,6.15,14.23,0.24,20.7,40.7,95.3,0.08,0.429,5.4
Klip Legend 16 Uncoated,51,Medium,Gut,1.3,1.32,3.9,5.2,7,43.46,37.9,27,19,62.4,21,,105.2,5.6,1.66,0.11,7.3,14.5,97.8,0.298,0.37,1.2
Klip Synthetic Gut 16,51,Medium,Nylon,1.29,1.31,NA,NA,11.8,38.54,37.1,27,29.8,68.4,23,,165.7,7.61,4.57,0.06,12.1,24.1,94.7,0.085,0.358,4.2
Klip Scorcher 16/1.30,51,Medium,Nylon,1.3,1.29,8.2,9.4,11.2,38.96,37.3,27,30,69,23.3,,168,7.17,4.59,0.42,12.1,24,94.3,0.122,0.392,3.2
Klip Armour Pro 16/1.30,51,Medium,Gut,1.3,1.3,3.9,5.6,7,42.87,37.6,27,20.1,62.8,21.2,,112,5.6,2.25,0.14,7.9,15.7,97.2,0.194,0.279,1.4
Klip Hardcore 16/1.30,51,Medium,Polyester,1.3,1.3,1.5,2.7,4.2,25.93,38.5,28,42.3,68.4,23.9,,219.5,8.03,16.76,0.15,24.9,49.2,86.5,0.092,0.432,4.7
Klip Venom 16/1.30,51,Medium,Nylon,1.3,1.32,7,8.5,9.7,40.55,36.7,26.1,29.3,69.9,22.8,,174.9,6.17,4,0.07,10.1,20.2,94.7,0.169,0.381,2.3
Klip K-Boom 16/1.30,51,Medium,Polyester,1.3,1.31,1.4,2.4,2.9,33.91,35.8,26.2,44.1,77.8,25.5,,261.7,6.55,10.26,0.15,17,33.4,91.4,0.093,0.38,4.1
Klip Kicker 16,51,Medium,Nylon,1.3,1.31,NA,NA,10.6,41.45,36.2,26,31.1,72.5,23.6,,186.9,6.75,2.52,0.08,9.3,18.4,95.5,0.097,0.362,3.7
Klip Excellerator 16/1.30,51,Medium,Nylon,1.3,1.32,7.3,8.8,9.7,40.92,36.7,26.2,28.9,69.9,22.8,,172,5.98,3.82,0.08,9.9,19.5,95.5,0.121,0.322,2.7
L-Tec Premium 5S 16L (1.25),51,Medium,Polyester,1.25,NA,2.1,3.6,4.8,32.46,36.1,26,40.1,72.5,23.6,,241.2,6.33,11.93,0.13,18.3,36.3,91.2,0.104,0.411,4
L-Tec Premium Pro OS 16L,51,Medium,Polyester,1.28,NA,1.5,2.1,3,37.71,34.2,24.2,41.7,79.4,24.1,,289.8,4.37,8.64,0.09,13,25.8,92.9,0.094,0.4,4.3
L-Tec Premium OS 17 (1.23),51,Medium,Polyester,1.23,NA,1.5,2.7,3.6,36.54,35,25.1,39.2,75.9,23.8,,253.2,4.06,10.12,0.16,14.3,28.3,93.1,0.098,0.402,4.1
L-Tec Premium 4S 16L (1.25),51,Medium,Polyester,1.25,NA,1.8,3,4.2,33.25,35.6,25.9,41,74.3,24.1,,248.6,5.78,11.69,0.15,17.6,34.7,92.4,0.071,0.479,6.7
L-Tec Premium 3S 16L (1.25),51,Medium,Polyester,1.25,NA,2.4,3.9,4.8,33.14,36,26,40.6,73.9,24,,244,5.8,11.78,0.18,17.9,35,92.5,0.115,0.465,4
LaserFibre Supernatural Gut Pro Stock 16,51,Medium,Nylon,1.3,1.32,NA,NA,10,37.42,37.4,27.1,30.2,67.7,22.9,,168,8.95,4.35,0.09,13.5,26.4,95.1,NA,NA,NA
Leopard Plus Control 16,51,Medium,Polyester,1.3,1.31,1.2,2.1,3,30.91,36.4,26.2,43.9,74.7,24.5,,258.3,7.28,12.53,0.19,20.1,39.4,89.5,0.097,0.378,3.9
Luxilon ALU Power Feel 18/1.20,51,Medium,Polyester,1.2,NA,2.1,3.9,5.2,30.96,38.1,28.3,39.5,70.3,24.9,11.6,200.6,5.98,13.78,0.97,20.7,40.9,91.2,0.074,0.396,5.4
Luxilon Monotec Super Poly 1.25/16L,51,Medium,Polyester,1.25,1.26,1.5,2.4,3.2,28.8,36.8,27,45.4,74.1,25,,253.2,7.36,14.56,0.16,22.1,43.5,92,0.116,0.377,3.3
Luxilon Savage 16/1.27,51,Medium,Polyester,1.27,1.25,1.5,2.4,3.6,27.74,36.6,26.4,44.3,72.1,23.8,,258.3,7.98,15,0.31,23.4,45.9,90.1,0.117,0.399,3.4
Luxilon Big Banger Ace 18 (1.12),51,Medium,Polyester,1.12,1.16,2.1,3.3,4.5,27.76,38,27.3,40.8,68.4,23.3,,222.9,8.71,14.25,0.2,23.2,45.7,90.1,0.106,0.419,4
Luxilon Big Banger Original 130/16,51,Medium,Polyester,1.3,1.31,1.5,2.7,3.9,25.09,38.1,28,45,70.1,24.5,,233.7,9.53,16.1,0.22,25.8,51,91,0.082,0.396,4.8
Luxilon Adrenaline 16L/1.25,51,Medium,Polyester,1.25,1.24,2.4,3.3,4.5,28.69,37.3,27,40.6,69.2,23.3,,226.9,8.51,13.52,0.27,22.3,44,91.8,0.103,0.356,3.5
Luxilon Monotec Supersense 16L/1.25,51,Medium,Polyester,1.25,1.25,1.8,3,3.9,27.03,37.6,27.1,42.1,69,23.4,,232.6,9.83,13.86,0.24,24,47.2,89.9,0.172,0.362,2.1
Luxilon M2 Pro 125/16,51,Medium,Polyester,1.25,1.33,2,3.6,5.2,24.14,39.3,28.3,41.5,65.5,23.2,,210.3,9.7,16.88,0.11,26.7,52.6,88,0.098,0.348,3.6
Luxilon 4G S 15,51,Medium,Polyester,1.41,NA,0.9,1.8,2.4,39.18,32.9,24,47,86.2,25.9,13.7,332,3.33,8.21,0.11,11.7,23,93.5,NA,NA,NA
Luxilon Element 1.30,51,Medium,Polyester,1.3,NA,1.5,3,4.5,28.8,38.2,28.2,41.2,70.1,24.7,11.4,211.5,6.75,15.17,0.25,22.3,43.7,90.1,0.068,0.446,6.6
Luxilon Big Banger XP 125/16L,51,Medium,Polyester,1.25,1.23,1.8,88.2,3.6,26.35,37.9,27.7,43.2,69.7,24.1,,228.6,641.65,-617.28,0.26,24.7,48.6,88.4,0.099,0.407,4.1
Luxilon Big Banger ALU Power Fluoro 17,51,Medium,Polyester,1.23,1.23,2.1,3.3,4.5,28.44,37.7,27,41.2,69.7,23.5,,228.6,8.38,13.9,0.22,22.5,44.3,91,NA,NA,NA
Luxilon Big Banger Rough 130/16,51,Medium,Polyester,1.3,1.33,2.1,3,4.2,24.78,38.1,28,45.6,70.3,24.7,,236,10.91,15.03,0,26,51.1,89.5,0.092,0.405,4.4
Luxilon Big Banger ALU Power Spin 127/16,51,Medium,Polyester,1.27,1.26,1.8,2.7,3.6,28.4,37.4,27.8,42.8,71.2,24.7,,225.7,8.16,14.16,0.29,22.5,44.6,90.1,0.106,0.454,4.3
Luxilon Big Banger TiMO 17L (1.17),51,Medium,Polyester,1.17,1.19,2.1,3.6,4.5,27.96,38.2,27.9,41.5,69.2,24.2,,216,8.56,14.2,0.31,23.2,45.5,89.1,0.094,0.413,4.4
Luxilon Adrenaline 16,51,Medium,Polyester,1.3,1.27,1.8,2.7,4.2,28.11,37.6,27,42.3,70.6,23.8,,236,8.45,14.16,0.19,22.7,45,92,0.103,0.372,3.6
Luxilon 4G 16L (1.25),51,Medium,Polyester,1.25,NA,1.5,2.4,3,40.22,33.6,24,41.5,81.8,24.5,12.9,292,3.55,6.95,0.11,10.6,20.9,94.1,0.095,0.366,3.9
Luxilon 4G 16 (1.30),51,Medium,Polyester,1.3,NA,1.2,1.8,2.4,39.16,33.3,24.1,45.4,84.5,25.4,13,317.2,3.97,7.59,0.13,11.7,23,92.7,NA,NA,NA
Luxilon 4G Soft 1.25,51,Medium,Polyester,1.25,NA,1.5,2.4,3,38.15,35.6,26.1,39.9,78.1,25.4,12.4,238.9,3.62,8.95,0.05,12.6,24.9,93.7,0.078,0.522,6.7
Luxilon Big Banger Timo 17 (1.22),51,Medium,Polyester,1.22,1.25,2.1,3,4.2,28.62,37.3,27,41,69.5,23.5,,228,7.96,14.14,0.18,22.3,43.9,91.2,0.098,0.382,3.9
Luxilon Big Banger XP 15L (1.38),51,Medium,Polyester,1.38,1.38,1.8,2.4,3.6,26.83,36.6,26.1,44.8,71.7,23.4,,266.9,9.26,14.63,0.24,24,47.6,90.1,0.106,0.378,3.6
Luxilon 4G Rough 16L,51,Medium,Polyester,1.25,NA,1.8,3.3,3.9,35.13,36.2,27,42.3,77.4,26.1,12.5,235.5,5.34,10.25,0.36,15.9,31.4,93.3,0.094,0.399,4.2
Luxilon Monotec Zolo 125/16,51,Medium,Polyester,1.25,1.23,2,3,4.2,26.68,38,27.9,43,69.7,24.3,,224.6,9.26,14.78,0.15,24.3,47.7,89.1,NA,NA,NA
Luxilon Adrenaline Rough 16L/1.25,51,Medium,Polyester,1.25,1.25,2.7,4.2,5.2,28.51,37.2,27,40.1,68.6,23.2,,223.5,8.75,13.46,0.22,22.5,44.2,89.7,0.13,0.432,3.3
Luxilon Big Banger Timo 18 (1.10),51,Medium,Polyester,1.1,1.14,2.4,3.3,4.8,28.07,38.3,27.7,39,67,23.2,,206.3,8.38,14.27,0.2,22.9,45,90.6,0.107,0.382,3.6
Luxilon ALU Power 125/16L,51,Medium,Polyester,1.25,1.23,1.8,3,3.9,27.52,37.9,28,43.4,71,24.8,,225.2,8.58,14.62,0.18,23.4,46.1,89.5,0.077,0.446,5.8
Luxilon Monotec Zolo 15L,51,Medium,Polyester,1.35,1.35,1.5,2.4,3.6,27.34,37.5,27,43.9,71.2,24.1,,245.2,8.53,14.85,0.28,23.6,46.7,90.2,0.083,0.382,4.6
Luxilon Adrenaline 17/1.20,51,Medium,Polyester,1.2,1.19,2.1,3,4.2,29.99,37,26.4,41,71,23.4,,237.7,7.36,13.37,0.31,20.9,41.5,91.2,0.131,0.384,2.9
Luxilon M2 Plus 130/16,51,Medium,Polyester,1.3,1.32,1.7,2.9,3.9,24.98,38.4,28,43.9,68.8,24.1,,226.9,9.15,16.59,0.31,26,51.3,88.4,NA,NA,NA
Luxilon Alu Power Soft 1.25,51,Medium,Polyester,1.25,NA,2.1,3.6,4.5,32.66,37.1,27.8,39.7,72.3,25.2,11.8,208.6,5.53,12.53,0.18,18.3,36,92.2,0.074,0.514,6.9
Luxilon LXN Smart 16L (1.25),51,Medium,Polyester,1.25,,2.1,4.5,3.3,29.5,37.5,27.9,41,70.6,24.7,11.7,214.3,7.32,13.9,0.31,21.6,42.4,90.4,0.079,0.54,6.8
Mantis Comfort Synthetic 16,51,Medium,Nylon,1.3,1.32,8.8,10,11.5,38.65,37.8,26.9,26.7,65.3,21.9,,150.3,6.04,6.03,0.02,12.1,23.8,95.5,0.115,0.438,3.8
Mantis Comfort Poly 16,51,Medium,Polyester,1.3,1.32,1.5,2.4,3.6,30.76,36.4,26,43.4,74.1,24.1,,261.2,7.3,12.66,0.18,20.1,39.7,91.2,0.092,0.438,4.8
Mantis Power Poly 17,51,Medium,Polyester,1.25,1.26,1.5,2.4,3.3,29.44,37,26.3,41,70.6,23.2,,241.2,7.89,13.39,0.31,21.6,42.6,90.8,0.086,0.417,4.8
MSV Focus Hex 17L (1.18),51,Medium,Polyester,1.18,NA,1.8,3,3.6,37.22,35.3,25.9,38.8,76.1,24.6,12.3,235.5,3.7,9.8,0.15,13.7,26.9,92.7,0.072,0.466,6.5
MSV Focus Hex Soft 17 (1.25),51,Medium,Polyester,1.25,NA,2.1,3,3.9,36.25,33.7,25,38.6,75,23.4,13,252,4.63,9.84,0.13,14.6,28.8,95.5,0.075,0.469,6.3
MSV Co.-Focus 16L,51,Medium,Polyester,1.27,1.28,2.1,3.3,5.2,26.2,38.9,28,39.9,66.2,23.2,,206.9,8.78,15.74,0.45,24.9,49.2,89.5,0.089,0.377,4.2
MSV Hepta-Twist 17,51,Medium,Polyester,1.25,1.3,3.3,5.5,6.7,25.95,38.8,28,39,65,22.7,,202.3,8.69,16.08,0.37,25.1,49.6,89.1,0.085,0.482,5.7
MSV Focus Evo 17,51,Medium,Polyester,1.25,1.25,2.1,3,4.2,27.98,37.3,27,41.7,69.7,23.5,,232,7.94,14.8,0.37,23.2,45.6,89.7,0.098,0.443,4.5
MSV Hepta-Twist 16,51,Medium,Polyester,1.3,1.34,2.4,4.2,6.4,25.27,38.6,28,39.5,64.8,22.6,,204.6,9.44,16.01,0.31,25.8,50.8,88,0.093,NA,0
MSV Focus Evo 16,51,Medium,Polyester,1.3,NA,1.5,2.4,3.6,28.78,36.8,26.4,44.1,72.8,24.1,,256,8.4,13.54,0.29,22.3,43.8,90.4,0.08,0.394,4.9
One Strings Carbon Tour 17 (1.25),51,Medium,Polyester,1.25,NA,1.5,2.4,3,38.3,35.1,26,41.5,79.8,25.9,12.7,249.7,4.26,8.16,0.13,12.6,24.7,92.2,NA,NA,NA
One Strings Carbon NRG 16,51,Medium,Polyester,1.3,NA,1.8,3.3,4.5,29.83,38.2,28,39.2,69.2,24.2,11.2,204,6,14.89,0.26,21.2,41.7,91.8,0.082,0.419,5.1
Pacific Classic Natural Gut 16,51,Medium,Gut,1.34,1.3,5.5,7.3,9.1,43.66,38.2,26.9,17.9,61.5,20.7,,100,4.92,2.14,0.09,7.1,14.1,98.6,0.149,0.422,2.8
Pacific Power Line 16L,51,Medium,Nylon,1.28,1.37,8,9.1,NA,41.28,36,26,30.4,71.7,23.3,,182.3,5.91,3.53,0.05,9.5,18.7,97,0.121,0.409,3.4
Pacific Prime Natural Gut 16L,51,Medium,Gut,1.25,1.29,106.7,6.4,8.5,43.88,38.2,27,17.9,61.7,20.8,,98.9,4.7,2.14,-0.02,6.8,13.4,96,NA,NA,NA
Pacific X Force 18,51,Medium,Polyester,1.19,1.22,1.5,2.4,3,32.55,36.3,27,41.7,74.3,25.1,,233.2,5.82,12.35,0.36,18.5,36.5,90.8,0.077,0.361,4.7
Pacific X Force 17,51,Medium,Polyester,1.24,1.27,1.8,1.8,3,32.85,35.8,26,42.6,75.4,24.5,,255.5,6.37,11.5,0.22,18.1,35.7,91.8,0.081,0.367,4.5
Pacific PMX 17,51,Medium,Nylon,1.23,1.22,8.5,10.3,11.8,37.48,38.1,27.8,27.6,65,22.6,,145.2,5.71,7.53,0.02,13.2,26.1,94.5,NA,NA,NA
Pacific Poly Force 16L,51,Medium,Polyester,1.29,1.3,1.5,2.7,3.6,28.05,32.3,27.1,42.3,70.3,23.9,,233.7,7.98,14.69,0.24,22.9,45.2,78,0.081,0.361,4.5
Pacific Tough Gut 16,51,Medium,Gut,1.34,1.39,4.2,6.7,7.9,41.06,38.5,27.2,20.9,62,21.1,,115.4,8.07,1.59,0.16,9.9,19.3,94.5,0.18,0.32,1.8
Pacific Poly Force Xtreme 16L,51,Medium,Polyester,1.25,1.28,1.5,2.4,3,31.33,36.1,27.5,44.3,75.6,26,,237.7,6.53,12.86,0.37,19.8,39,88.7,0.098,0.488,5
Pacific Tough Gut 16L,51,Medium,Gut,1.28,1.28,1.8,6.7,7.9,43.46,37.9,27,18.7,62.2,21,,104,5.12,2.14,0.31,7.5,14.9,98.8,NA,NA,NA
Pacific Power Twist 16L,51,Medium,Nylon,1.28,1.33,9.4,10.6,12.1,39.54,37,26.3,28.9,68.4,22.5,,169.7,6.35,4.83,0.03,11.2,22.1,94.3,0.133,0.419,3.2
Pacific Power Line 17,51,Medium,Nylon,1.24,1.27,7.9,9.1,10,39.89,36.5,26.1,30.9,70.8,23.1,,184,6.88,3.95,0.09,11,21.5,94.9,0.106,0.374,3.5
Pacific Prime Natural Gut 16,51,Medium,Gut,1.34,1.32,5.8,7.6,NA,44.52,38.4,27,15.9,60.4,20.4,,88.6,4.56,1.64,0.05,6.2,12.3,97,0.103,0.453,4.4
